SYMBOL
MAHABANK
GOLDIETF
IEX
WIPRO
CENTRALBK
VASCONEQ
AXISBANK
BPCL
HDFCGOLD
NBCC
ONGC
PARADEEP
PENINLAND
BANKBARODA
EPACKPEB
INDUSINDBK
SBIN
SAGILITY
POWERGRID
GREENPANEL
CGPOWER
RTNPOWER
RECLTD
TRANSRAILL
RELIANCE
SUNTV
INDIANB
EMBDL
ASHOKLEY
PAISALO
BEL
PFC
SILVERIETF
LIQUIDCASE
HEMIPROP
NETWEB
BANKINDIA
SHRIRAMFIN
HINDCOPPER
AFIL
NAZARA
HCC
AUBANK
NMDC
RPOWER
HUDCO
TATASTEEL
INDHOTEL
UJJIVANSFB
ITC
IDFCFIRSTB
DLF
JPPOWER
OLAELEC
ETERNAL
SARVESHWAR
SBC
PNB
TATAMOTORS
SAIL
SURYODAY
ICICIBANK
IREDA
NSLNISP
VIMTALABS
SETFGOLD
DAVANGERE
HDFCBANK
RAMASTEEL
PROZONER
TATSILV
SILVERBEES
TATAMOTORS
GOLDBEES
GTLINFRA
CANBK
IRCTC
RBLBANK
GATECH
SUZLON
RATEGAIN
PCJEWELLER
JAINREC
MARICO
TATAGOLD
FILATFASH
ADANIPOWER
SAMMAANCAP
YESBANK
IDEA
ANANTRAJ
PARAS
TATATECH
TANLA
OPTIEMUS
ASHAPURMIN
UPL
SHRIRAMFIN
ATGL
BALUFORGE
BLACKBUCK
JUBLFOOD
GMDCLTD
TDPOWERSYS
SUNTV
ELECON
ATHERENERG
PATANJALI
LICHSGFIN
SIGMA
AMBUJACEM
BANKBEES
SETFNIFBK
SARDAEN
GRANULES
EMAMILTD
JSWENERGY
FIVESTAR
CONCOR
PGEL
CHAMBLFERT
DEEPINDS
POONAWALLA
DBL
DABUR
HINDZINC
APOLLOTYRE
KALYANKJIL
VEDL
SWANCORP
USHAMART
IIFL
ARSSBL
DENTA
HSCL
VBL
SHREEPUSHK
SUNTECK
DELHIVERY
HINDPETRO
STYL
EMBASSY
SWIGGY
SONACOMS
OIL
PFC
GOKULAGRO
BEL
ITC
LTFOODS
EXIDEIND
TATAPOWER
COALINDIA
RAILTEL
SANGHVIMOV
GOLDIAM
RECLTD
STYLEBAAZA
CMSINFO
IRMENERGY
MANINDS
MOIL
ZUARIIND
INDUSTOWER
BSOFT
SONATSOFTW
BIOCON
RVNL
KRBL
ZAGGLE
NTPC
BPCL
JWL
PRAJIND
HINDCOPPER
VIKRAMSOLR
BLS
SOLARWORLD
ETERNAL
APOLLO
MANGCHEFER
FSL
APTUS
GSPL
JAINREC
JSWINFRA
ABCAPITAL
JIOFIN
ARVIND
CRIZAC
INDOTHAI
GREENPANEL
CROMPTON
ACMESOLAR
MANAPPURAM
CAPACITE
IXIGO
POWERGRID
NIFTYBEES
IFGLEXPOR
NIFTYIETF
HUBTOWN
REDINGTON
NORTHARC
SKYGOLD
NLCINDIA
PARAGMILK
PETRONET
RBLBANK
NAZARA
MOBIKWIK
M&MFIN
STALLION
SHALBY
AWL
GEMAROMA
BANKBARODA
LTF
MOSCHIP
EUROPRATIK
RITES
RELIGARE
FCL
TECHERA
GPIL
SWSOLAR
EIEL
RELINFRA
ONGC
DCXINDIA
NYKAA
WIPRO
BHEL
INDOFARM
BAJAJCON
CYBERTECH
HUDCO
VERANDA
SCI
MON100
TIMETECHNO
ITCHOTELS
CUPID
GREAVESCOT
NATIONALUM
CUB
KARURVYSYA
NCC
IGL
INOXGREEN
JINDALSAW
KROSS
ENGINERSIN
CASTROLIND
SAMHI
FINPIPE
PPLPHARMA
KNRCON
PROSTARM
GSFC
PARADEEP
SEQUENT
FEDERALBNK
GARUDA
LOTUSDEV
CAMLINFINE
EPACKPEB
CGCL
KITEX
SHRINGARMS
HEMIPROP
UGROCAP
AVANTEL
GAIL
IRCON
KTKBANK
PFOCUS
DCMSRIND
URBANCO
BOMDYEING
DEVYANI
HDFCSML250
GKENERGY
PTC
SAMMAANCAP
SANDUMA
INDIGRID
TATASTEEL
MARKSANS
LEMONTREE
DBREALTY
BANDHANBNK
JMFINANCIL
CESC
RATNAVEER
THOMASCOOK
BELRISE
TNPL
GPPL
SURYODAY
ARISINFRA
KALAMANDIR
MASTERTR
FEDFINA
ADANIPOWER
IREDA
DIACABS
IOC
VMM
MANINFRA
BOROSCI
KAVDEFENCE
RCF
PARKHOTELS
ESILVER
SILVER
AXISILVER
SILVERIETF
JAICORPLTD
GROWWSLVR
YATRA
SBISILVER
EMIL
INOXWIND
SILVERAG
SILVERETF
IEX
SILVER1
ASHOKLEY
SILVERADD
HDFCSILVER
TEXRAIL
SILVERBEES
UNIONBANK
JSWCEMENT
SAIL
MRPL
RAIN
DCBBANK
NAVKARCORP
TVSSCS
IRFC
SDBL
BANKINDIA
CANBK
STLTECH
RGL
KRT
HITECH
MOGOLD
WELSPUNLIV
GROWWGOLD
GMRP&UI
GOLDETF
ZEEL
ARIHANTCAP
SAMBHV
PNB
BAJAJHFL
LIQUIDCASE
NBCC
EDELWEISS
754GS2036
SBFC
IOLCP
BSLGOLDETF
MOTHERSON
J&KBANK
MUNJALAU
INTLCONV
GOLDIETF
JAMNAAUTO
HDFCGOLD
AXISGOLD
SETFGOLD
PNBGILTS
GOLDSHARE
JAIBALAJI
GOLD1
NTPCGREEN
GSLSU
GOLDBEES
EMBDL
VPRPL
VIKRAN
PGINVIT
RICOAUTO
ELECTCAST
676GS2061
REGAAL
NFL
CPSEETF
SPIC
IDBI
SHREDIGCEM
SJVN
SHRIRAMPPS
GMRAIRPORT
SIKKO
MODEFENCE
AAATECH
ABFRL
NHPC
PSUBNKBEES
VMSTMT
RAJOOENG
BLUSPRING
NIVABUPA
DELTACORP
RBA
MCLOUD
NMDC
RMDRIP
GLOBECIVIL
BMWVENTLTD
TFCILTD
HFCL
NEXT50IETF
JTLIND
DCW
JAYNECOIND
IDFCFIRSTB
ONMOBILE
VASCONEQ
MMTC
LLOYDSENT
PROZONER
DHANI
GATEWAY
LLOYDSENGG
FMCGIETF
INDORAMA
MICEL
ABSLBANETF
EQUITASBNK
BANKIETF
MAHABANK
